start_dt,end_dt,machine,benchmark,model,#SDC,#DUE,#abort,#end,acc_time,Time Beam Off,acc_err,Flux 1h,Fluency(Flux * $AccTime),Cross Section SDC,Cross Section DUE
2021-06-05 13:31:51,2021-06-05 14:31:51,carol-raspberry1,Classification,inception_v4_299_quant_edgetpu.tflite,229,5,0,0,2842.890588,0.0,395,3921499.973739959,11148395366.187576,2.054107272644308e-08,4.4849503769526366e-10
2021-06-05 14:34:21,2021-06-05 15:34:21,carol-raspberry1,Classification,inception_v4_299_quant_edgetpu.tflite,260,10,0,0,3438.67814,0.0,407,3921499.973739959,13484776235.71017,1.9281002180182433e-08,7.415770069300933e-10
2021-06-05 15:53:02,2021-06-05 16:53:02,carol-raspberry1,Classification,inception_v4_299_quant_edgetpu.tflite,201,11,0,0,2422.612603,0.0,328,3921499.973739959,9500275259.046593,2.1157281712295518e-08,1.1578611882350781e-09
2021-06-05 16:54:07,2021-06-05 17:54:07,carol-raspberry1,Classification,inception_v4_299_quant_edgetpu.tflite,218,6,0,0,2687.1949010000003,0.0,321,3921499.973739959,10537834733.705652,2.0687361826117753e-08,5.693769309940665e-10
2021-06-05 17:55:20,2021-06-05 18:55:20,carol-raspberry1,Classification,inception_v4_299_quant_edgetpu.tflite,212,15,0,0,2395.236906,0.0,396,3921499.973739959,9392921463.97998,2.257018764747247e-08,1.5969472392079579e-09
2021-06-05 18:59:37,2021-06-05 19:59:37,carol-raspberry1,Classification,inception_v4_299_quant_edgetpu.tflite,167,16,0,0,2290.493123,0.0,270,3921499.973739959,8982168721.696054,1.8592391790260906e-08,1.781306997869308e-09
2021-06-05 20:02:33,2021-06-05 21:02:33,carol-raspberry1,Classification,inception_v4_299_quant_edgetpu.tflite,315,6,0,0,3741.918599000001,0.0,483,3921499.973739959,14673933687.715565,2.1466636465974052e-08,4.0888831363760087e-10
2021-06-05 21:24:54,2021-06-05 22:24:54,carol-raspberry1,Classification,inception_v4_299_quant_edgetpu.tflite,47,2,1,1,530.84148,0.0,62,3921499.973739959,2081694849.8800807,2.257775677482581e-08,9.60755607439396e-10
2021-06-04 18:50:13,2021-06-04 21:34:08,carol-raspberry1,Classification,inception_v4_299_quant_edgetpu.tflite,82,1,0,0,9835.131343,0.0,167,3921499.973739959,38568467303.30354,2.126089153482549e-09,2.5927916505884744e-11
2021-06-05 21:38:31,2021-06-05 23:03:56,carol-raspberry1,Classification,inception_v4_299_quant_edgetpu.tflite,107,1,0,0,5125.611622,0.0,166,3921499.973739959,20100085841.07423,5.323360350100947e-09,4.975103130935464e-11
