benchmark,#SDC,#DUE,Fluency(Flux * $AccTime),Cross Section SDC,Cross Section DUE
Classification,12856,429,725342971413.966,1.772402919261605e-08,5.914443468911236e-10
Conv,382,231,777486143757.8802,4.913270841762551e-10,2.9711140430553646e-10
DepthwiseConv,604,145,494135157096.2931,1.222337636425852e-09,2.9344198225455056e-10
Detection,19456,169,392140346759.4732,4.961488956894739e-08,4.309681505526372e-10
