time;machine;benchmark;#SDC;#abort;#end;acc_time;header;acc_err;file_path
Thu May 27 09:40:04 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;16.100227; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_40_04_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:41:56 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;47.949886; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_41_56_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:43:53 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;26.847329; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_43_53_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:46:04 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;133.18409; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_46_04_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:50:22 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;25.370721; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_50_22_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:52:30 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;136.075965; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_52_30_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:56:55 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;54.78226; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_56_55_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 09:58:59 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;36.192677; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_09_58_59_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 10:00:33 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;52.312266; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_10_00_33_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 10:02:33 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;19.027485; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_10_02_33_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 10:04:31 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;27.776573; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_10_04_31_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 10:05:54 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;96.588283; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_10_05_54_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 10:09:07 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;18.902668; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_10_09_07_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 10:11:05 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;158.107527; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_10_11_05_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
