time;machine;benchmark;#SDC;#abort;#end;acc_time;header;acc_err;file_path
Fri Jun  4 08:16:05 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_08_16_05_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 08:17:41 2021;carol-raspberry1;Classification_ECC_OFF;15;0;0;201.727164; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;12;/tmp/parserSDC/2021_06_04_08_17_41_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 08:22:29 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_08_22_29_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 08:23:52 2021;carol-raspberry1;Classification_ECC_OFF;25;0;0;365.168633; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;35;/tmp/parserSDC/2021_06_04_08_23_52_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 08:31:49 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_08_31_49_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 08:33:17 2021;carol-raspberry1;Classification_ECC_OFF;66;0;0;3059.145479; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;95;/tmp/parserSDC/2021_06_04_08_33_17_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 09:30:38 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_09_30_38_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 09:31:59 2021;carol-raspberry1;Classification_ECC_OFF;8;0;0;90.534208; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;23;/tmp/parserSDC/2021_06_04_09_31_59_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 09:34:38 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_09_34_38_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 09:36:03 2021;carol-raspberry1;Classification_ECC_OFF;18;0;0;380.400709; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;30;/tmp/parserSDC/2021_06_04_09_36_03_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 09:44:33 2021;carol-raspberry1;Classification_ECC_OFF;77;0;0;1373.593003; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;130;/tmp/parserSDC/2021_06_04_09_44_33_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 10:13:58 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_10_13_58_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 10:15:23 2021;carol-raspberry1;Classification_ECC_OFF;34;0;0;512.217896; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;62;/tmp/parserSDC/2021_06_04_10_15_23_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 10:26:56 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_10_26_56_Classification_ECC_OFF_carol-raspberry1.log
